Rank,Symbol,% Change
1,SBIETFPB,-3.68%
2,PVTBANKADD,-3.56%
3,PVTBANIETF,-3.54%
4,OILIETF,-3.07%
5,BANKETF,-2.79%
6,AXISBNKETF,-2.74%
7,SETFNIFBK,-2.70%
8,BANKBETF,-2.69%
9,BANKBEES,-2.67%
10,BANKBEES,-2.66%
