date,open,high,low,close,volume,time,date_only,ticker
2024-10-07 09:15:00+05:30,3024.0,3024.0,2995.65,2998.7,3205,09:15:00,2024-10-07,ECLERX
2024-10-07 09:20:00+05:30,2998.7,3055.0,2998.7,3036.7,5668,09:20:00,2024-10-07,ECLERX
2024-10-07 09:25:00+05:30,3036.7,3082.3,3036.7,3057.2,14191,09:25:00,2024-10-07,ECLERX
2024-10-07 09:30:00+05:30,3057.2,3065.2,3050.0,3064.4,5027,09:30:00,2024-10-07,ECLERX
2024-10-07 09:35:00+05:30,3064.4,3099.0,3060.2,3066.35,9960,09:35:00,2024-10-07,ECLERX
2024-10-07 09:40:00+05:30,3062.65,3066.8,3050.4,3062.4,3295,09:40:00,2024-10-07,ECLERX
2024-10-07 09:45:00+05:30,3062.4,3062.4,3050.0,3051.2,5955,09:45:00,2024-10-07,ECLERX
2024-10-07 09:50:00+05:30,3053.85,3056.75,3050.0,3050.0,2246,09:50:00,2024-10-07,ECLERX
2024-10-07 09:55:00+05:30,3050.0,3050.4,3032.1,3033.85,6231,09:55:00,2024-10-07,ECLERX
2024-10-07 10:00:00+05:30,3032.05,3038.35,3013.1,3013.7,3583,10:00:00,2024-10-07,ECLERX
2024-10-07 10:05:00+05:30,3005.65,3005.65,2987.25,2997.95,5163,10:05:00,2024-10-07,ECLERX
2024-10-07 10:10:00+05:30,2997.95,3014.9,2993.75,3009.35,2160,10:10:00,2024-10-07,ECLERX
2024-10-07 10:15:00+05:30,3002.0,3009.8,2993.25,2993.25,2935,10:15:00,2024-10-07,ECLERX
2024-10-07 10:20:00+05:30,2993.25,3034.95,2988.0,3030.0,7618,10:20:00,2024-10-07,ECLERX
2024-10-07 10:25:00+05:30,3032.55,3034.95,3030.0,3030.05,4896,10:25:00,2024-10-07,ECLERX
2024-10-07 10:30:00+05:30,3030.0,3031.95,3020.0,3020.0,1929,10:30:00,2024-10-07,ECLERX
2024-10-07 10:35:00+05:30,3020.0,3025.55,3020.0,3020.0,5510,10:35:00,2024-10-07,ECLERX
2024-10-07 10:40:00+05:30,3020.0,3021.8,3020.0,3020.05,3361,10:40:00,2024-10-07,ECLERX
2024-10-07 10:45:00+05:30,3020.05,3020.05,3009.4,3009.4,4517,10:45:00,2024-10-07,ECLERX
2024-10-07 10:50:00+05:30,3008.45,3024.95,2988.7,3015.95,7070,10:50:00,2024-10-07,ECLERX
2024-10-07 10:55:00+05:30,3015.95,3018.4,3015.0,3017.4,912,10:55:00,2024-10-07,ECLERX
2024-10-07 11:00:00+05:30,3017.4,3017.4,3015.0,3015.0,1581,11:00:00,2024-10-07,ECLERX
